LATITUDE,LONGITUDE,DATE
40.76361111,-106.765,2007-07-23
38.85611111,-104.91666667,2007-09-28
37.66638889,-103.74055556,2008-04-14
39.38083333,-105.31194444,2008-06-26
37.14916667,-107.2975,2008-07-03
39.59,-106.10916667,2008-06-28
38.06333333,-105.73611111,2008-06-18
38.35638889,-108.49444444,2008-07-02
38.11611111,-108.07805556,2008-07-09
37.3525,-103.03472222,2008-07-01
37.52694444,-103.76944444,2008-06-09
37.25388889,-107.32888889,2008-07-16
39.14416667,-105.13111111,2008-06-03
39.29305556,-105.56333333,2008-06-10
37.17305556,-106.83055556,2008-05-29
37.22916667,-107.32611111,2008-07-13
37.88472222,-108.74083333,2008-07-23
39.6875,-105.58111111,2008-06-26
40.40444444,-105.34138889,2008-09-30
40.6125,-105.54611111,2008-08-01
38.79083333,-106.33277778,2008-07-03
38.55138889,-107.26666667,2008-07-04
38.20138889,-108.28666667,2008-07-25
38.9625,-107.55611111,2008-09-26
40.97194444,-105.52305556,2008-09-30
37.44916667,-108.33833333,2008-08-24
37.1575,-107.02027778,2008-09-20
39.52361111,-105.51222222,2008-10-20
40.18833333,-106.73888889,2008-10-01
39.30277778,-105.20861111,2008-07-20
37.74194444,-108.21194444,2008-11-02
37.70027778,-108.71638889,2008-11-02
40.25916667,-105.40527778,2008-10-25
38.19222222,-106.10444444,2008-10-24
40.57277778,-105.3525,2008-11-24
38.98,-108.20305556,2008-07-08
40.71083333,-105.30305556,2009-02-02
37.30888889,-102.665,2009-01-19
39.26555556,-105.21138889,2009-03-22
40.725,-105.44111111,2009-04-09
37.81861111,-107.10305556,2009-05-11
40.70944444,-105.26861111,2009-07-23
39.00805556,-105.17694444,2009-02-07
37.14777778,-106.42805556,2009-07-22
37.50472222,-106.68694444,2009-08-09
38.46944444,-109.04527778,2009-08-03
37.33916667,-106.28527778,2009-08-31
40.47694444,-105.46222222,2009-09-08
38.43083333,-109.00833333,2009-08-27
39.30666667,-105.17888889,2009-08-07
38.05083333,-106.40527778,2009-09-12
38.70277778,-108.68305556,2009-08-08
37.84694444,-108.65166667,2009-07-31
37.34083333,-107.79638889,2009-08-06
37.45583333,-107.83972222,2009-08-17
37.20944444,-106.81361111,2009-08-12
37.37638889,-107.62083333,2009-08-11
37.17027778,-102.6425,2009-07-13
37.01916667,-102.83916667,2009-07-18
38.47111111,-106.115,2009-08-18
38.01,-108.31416667,2009-07-27
37.97722222,-108.57138889,2009-08-08
38.235,-108.29138889,2009-08-29
37.26555556,-107.35472222,2009-08-23
38.7575,-106.59361111,2009-08-30
38.46027778,-108.17666667,2009-09-27
40.70194444,-104.46583333,2009-03-02
37.71916667,-108.64222222,2009-08-01
38.46472222,-108.37638889,2009-09-22
37.62972222,-108.66361111,2009-08-02
37.17111111,-107.26027778,2009-08-28
37.165,-107.485,2009-10-18
37.04916667,-106.79388889,2009-09-26
37.64638889,-108.71833333,2009-08-07
39.27444444,-106.01555556,2009-09-01
38.41333333,-108.49194444,2009-08-29
39.00138889,-105.43361111,2009-10-19
40.69694444,-104.4575,2009-11-07
38.20944444,-105.20166667,2009-07-16
38.13666667,-105.14666667,2009-08-31
38.20861111,-105.145,2009-09-02
39.62055556,-106.42166667,2009-08-07
40.59111111,-106.77361111,2009-08-27
39.06083333,-105.48027778,2009-11-27
40.88722222,-104.6375,2009-11-07
38.5925,-108.72111111,2009-09-10
38.73888889,-108.57555556,2009-07-11
38.75,-108.58333333,1992-08-05
37.93,-108.29166667,1992-10-13
37.87166667,-103.13333333,1992-10-22
38.5,-108.25833333,1992-08-19
38.46666667,-106.38333333,1992-04-12
38.38333333,-106.48333333,1992-04-25
40.11666667,-105.33333333,1992-04-29
39.955,-105.37166667,1992-07-07
40.68666667,-103.83333333,1992-04-04
40.67,-107.175,1992-10-12
40.93333333,-106.9,1992-10-21
40.00666667,-106.52333333,1992-08-01
39.16666667,-106.33333333,1992-04-29
38.71666667,-106.18333333,1992-02-29
38.73333333,-106.0,1992-07-22
38.46666667,-106.125,1992-10-06
37.03,-102.53333333,1992-04-30
37.07333333,-102.48833333,1992-07-07
37.86333333,-103.84333333,1992-07-31
37.65666667,-103.67166667,1992-08-25
37.08666667,-102.58333333,1992-10-26
38.88833333,-104.88833333,1992-04-30
38.91666667,-104.93833333,1992-04-30
38.93833333,-104.95,1992-04-30
38.79166667,-106.1,1992-05-19
38.955,-104.9,1992-10-04
38.93333333,-105.04,1992-11-08
39.16833333,-105.52333333,1992-06-14
39.2,-105.32166667,1992-06-30
39.3,-105.13333333,1992-10-12
39.41666667,-105.45,1992-10-17
37.16666667,-106.83333333,1992-06-25
37.30166667,-107.34666667,1992-07-06
39.90833333,-107.76166667,1992-10-13
39.3,-107.255,1992-08-03
39.63333333,-106.48,1992-09-04
38.45,-109.00166667,1992-04-28
37.29833333,-106.29666667,1992-10-18
38.55,-108.48333333,1993-08-16
38.275,-108.21,1993-11-08
38.51666667,-108.43333333,1993-06-29
38.0,-108.0,1993-09-29
38.11666667,-105.7,1993-07-02
40.47333333,-105.45666667,1993-07-10
40.95,-106.08833333,1993-06-27
40.75833333,-107.3,1993-10-03
40.91,-106.835,1993-07-11
39.0,-106.36666667,1993-07-19
39.08333333,-106.3,1993-09-23
39.28333333,-106.3,1993-09-28
38.61666667,-105.83333333,1993-07-09
38.83333333,-106.33333333,1993-07-18
38.25,-105.68166667,1993-07-08
37.14166667,-102.915,1993-06-29
37.345,-102.75166667,1993-07-10
